Customer ID,Gender,Age,Category,Unit Price,Quantity,Sales,Shipping Fee,Shipping Status,Order Date,Product_ID,Brand,Discount,Cost_Price,Stock_Keeping_Unit (SKU),Supplier_ID,Sales_Channel,Customer_Segment,Current_Stock_Level,Reorder_Level,Reorder_Quantity,Lead_Time,Stock_Out_Days,Warehouse_ID,Supplier_Lead_Time_Variability,Customer_Loyalty_Score,Return_Rate,Competitor_Price,Advertising_Spend,Weather_Conditions,Holiday_Flag,Shipping_Time,Delivery_Time,Order_Fulfillment_Rate,Logistics_Cost,Order_Cancellation_Rate,Fraudulent_Orders,Unexpected_Demand_Spike,Supplier_Delays,Customer_Complaints,Product_Return_Waste,Carbon_Emissions_Per_Order,Sustainable_Packaging_Flag,Product,State,City,Postal_Code,Delivery_Address,Calculated Sales,Year,Month,Weekday,Quarter,Last_Month_Sales,Stockout_Risk,Profit Margin,Fulfillment_Efficiency,Delivery_Delay,Unexpected_Demand_Spike_Flag,Supplier_Performance_Score,Customer_Satisfaction_Score,Loyalty_Segment,Logistics_Efficiency_Score,Sustainability_Score,Price_Competitiveness,Is_Cheaper_Than_Competitor,Ad_Efficiency
CUST0269,Male,64.0,Bottoms,100.0,3,300,11.64,Returned,2019-06-02,PID00615,H&M,20.34,1218.65,SKU000544,SUP004,Marketplace,Students,488,45,43,1,4,WH003,1,63,8.4,48.1,2482,Cloudy,1,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000003,88.02,322,5.65,2,0,4,12,24.12,207.186,0,Joggers,Uttar Pradesh,Lucknow,226001,"5, Hazratganj, Lucknow",300.0,2019,6,6,2,800.0,1.6266666666666667,-6159.950000000001,82.36999999999999,-1,0,95,67.6,Medium,27.33540372670808,96.52,51.9,0,0.120870265914585
CUST0237,Male,65.0,Tops,200.0,3,600,6.94,In Transit,2021-05-18,PID00697,H&M,32.02,68.56,SKU000743,SUP001,Online,Families,142,32,68,10,3,WH003,4,25,8.96,881.65,7962,Snowy,0,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000005,82.22,311,4.02,2,1,7,4,83.56,207.22799999999995,0,Crop Top,Rajasthan,Jaipur,302001,"89, MI Road, Jaipur",600.0,2021,5,1,2,300.0,0.2366666666666666,-7878.68,78.2,0,1,89,83.03999999999999,Low,26.437299035369776,96.49,-681.65,1,0.0753579502637528
CUST0240,Female,39.0,Tops,100.0,1,100,7.09,Delivered,2020-01-21,PID00540,Puma,32.91,632.13,SKU000569,SUP004,Online,Families,68,39,65,6,3,WH001,0,74,8.73,108.49,1968,Rainy,0,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000013,97.09,344,7.56,1,1,2,6,4.75,59.039999999999985,1,Oversized T-Shirt,Gujarat,Ahmedabad,380001,"77, SG Highway, Ahmedabad",100.0,2020,1,1,1,400.0,0.68,-2844.13,89.53,0,1,98,79.27,Medium,28.223837209302328,146.11,-8.489999999999995,1,0.0508130081300813
CUST0252,Female,55.0,Tops,200.0,5,1000,13.29,Delivered,2021-05-17,PID00537,Under Armour,1.02,191.37,SKU000929,SUP002,Marketplace,Families,137,47,97,13,4,WH003,4,53,5.74,53.33,9446,Rainy,1,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000002,96.1,392,3.23,1,1,0,1,65.06,206.668,0,Crop Top,Karnataka,Bangalore,560001,"45, MG Road, Bangalore",1000.0,2021,5,0,2,6000.0,0.137,-9794.85,92.87,-1,1,96,92.26,Medium,24.51530612244898,96.89,146.67000000000002,0,0.105864916366716
CUST0183,Female,42.0,Bottoms,800.0,3,2400,7.22,Delivered,2024-08-05,PID00557,Prada,45.4,39.64,SKU000762,SUP003,Online,Students,475,14,23,2,2,WH003,2,3,0.32,185.26,5913,Rainy,1,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000012,82.19,64,8.57,1,1,4,7,14.85,205.45,0,Cargo Pants,Maharashtra,Mumbai,400001,"101, Marine Drive, Mumbai",2400.0,2024,8,0,3,6000.0,0.1979166666666666,-3695.92,73.62,0,1,94,85.68,Low,128.421875,97.76,614.74,0,0.4058853373921867
CUST0216,Male,53.0,Bottoms,800.0,2,1600,16.23,In Transit,2023-07-19,PID00937,Adidas,17.79,63.91,SKU000444,SUP001,Offline,Families,420,20,31,2,3,WH003,0,45,3.46,216.06,5217,Rainy,1,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000010,88.15,411,0.24,1,0,7,19,48.87,58.68000000000001,1,Cargo Pants,Rajasthan,Jaipur,302001,"89, MI Road, Jaipur",1600.0,2023,7,2,3,3200.0,0.2625,-4155.82,87.91000000000001,0,0,93,58.54,Low,21.447688564476888,146.70999999999998,583.94,0,0.306689668391796
CUST0203,Female,33.0,Footwear,200.0,1,200,14.86,Returned,2020-10-19,PID00551,Zara,19.21,924.83,SKU000769,SUP004,Marketplace,Professionals,174,9,63,11,2,WH002,3,31,7.59,212.8,2458,Rainy,1,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000001,91.17,191,6.12,0,0,7,19,79.16,206.164,0,Sneakers,Punjab,Chandigarh,160001,"56, Sector 17, Chandigarh",200.0,2020,10,0,4,1200.0,0.87,-3373.83,85.05,0,0,90,54.41,Low,47.73298429319372,97.25,-12.800000000000011,1,0.081366965012205
CUST0131,Female,67.0,Outerwear,1500.0,4,6000,7.01,Delivered,2021-09-11,PID00693,Nike,1.63,604.67,SKU000306,SUP004,Online,Families,161,18,70,3,2,WH003,2,14,9.74,109.42,3460,Rainy,1,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000005,95.23,427,0.44,0,1,9,11,82.56,204.54,0,Hoodie,Tamil Nadu,Chennai,600001,"12, Anna Salai, Chennai",6000.0,2021,9,5,3,120.0,0.0268333333333333,-305.67999999999984,94.79,-1,1,89,68.25999999999999,Low,22.30210772833724,98.41,1390.58,0,1.7341040462427746
CUST0130,Male,68.0,Tops,100.0,4,400,14.97,Returned,2020-08-30,PID00263,Louis Vuitton,7.98,23.96,SKU000300,SUP002,Offline,Students,88,34,24,10,4,WH002,2,18,6.94,1399.21,4077,Cloudy,0,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000006,94.33,398,3.07,0,0,5,0,39.37,203.27999999999997,0,Crop Top,Telangana,Hyderabad,500001,"99, Banjara Hills, Hyderabad",400.0,2020,8,6,3,800.0,0.22,-4170.84,91.26,-1,0,93,93.06,Low,23.701005025125628,99.31,-1299.21,1,0.098111356389502
CUST0242,Female,58.0,Bottoms,200.0,3,600,14.74,Returned,2023-09-29,PID00675,Gucci,37.67,1186.62,SKU000611,SUP001,Marketplace,Students,101,15,45,3,4,WH001,2,67,2.5,873.84,5807,Rainy,1,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000008,99.67,64,3.11,0,1,8,16,31.57,58.139999999999986,1,Cargo Pants,Punjab,Chandigarh,160001,"56, Sector 17, Chandigarh",600.0,2023,9,4,3,6000.0,0.1683333333333333,-8830.86,96.56,0,1,90,65.5,Medium,155.734375,147.61,-673.84,1,0.1033235749956948
